ORDER_ID,OPERATION_SEQ_NO,PIECE_NO,PART_ID,CALC_QTY,QTY_PER,FIXED_QTY,REQUIRED_DATE,SITE_ID,QTY_ON_HAND
WO-070348,10,20,FGT0673-01,0.00000000,0.00000000,0.00000000,2026-04-14 00:00:00.000,MTM2,0.00000000
WO-070348,40,10,FGT0900-01,0.00000000,0.00000000,0.00000000,2026-04-14 00:00:00.000,MTM2,0.00000000
WO-070353,10,10,MMC0000448,19321.50000000,0.55000000,0.00000000,2026-05-08 00:00:00.000,MTM2,3225.00000000
WO-070353,10,20,FGT0908-01,0.00000000,0.00000000,0.00000000,2026-04-14 00:00:00.000,MTM2,0.00000000
WO-070353,89,10,VBG00006,542.00000000,0.01540000,0.00000000,2026-05-29 07:00:00.000,MTM2,2812.00000000
WO-070353,89,20,S-1021,542.00000000,0.01540000,0.00000000,2026-05-29 07:00:00.000,MTM2,3327.00000000
WO-070356,10,10,MMC0000734,19873.56000000,0.59000000,0.00000000,2026-04-28 06:00:00.000,MTM2,0.00000000
WO-070356,10,20,FGT1039-01,0.00000000,0.00000000,0.00000000,2026-04-14 00:00:00.000,MTM2,0.00000000
WO-070356,929,10,VBG00006,482.00000000,0.01429000,0.00000000,2026-06-04 23:40:00.000,MTM2,2812.00000000
WO-070362,10,10,MMC0000980,11585.80000000,0.53000000,0.00000000,2026-06-02 11:10:00.000,MTM2,8168.32000000
WO-070362,10,20,FGT0846-01,0.00000000,0.00000000,0.00000000,2026-04-14 00:00:00.000,MTM2,0.00000000
WO-070362,20,10,23-14200-045,21860.00000000,1.00000000,0.00000000,2026-06-02 21:30:00.000,MTM2,38300.00000000
WO-070362,20,20,FGT0107-01,0.00000000,0.00000000,0.00000000,2026-04-14 00:00:00.000,MTM2,0.00000000
WO-070374,10,10,MMF0005010,946.00000000,8.60000000,0.00000000,2026-04-15 00:00:00.000,MTM2,568.40000000
WO-070374,20,10,FGT0001-01,0.00000000,0.00000000,0.00000000,2026-04-15 00:00:00.000,MTM2,0.00000000
WO-070386,10,10,MMC0000389,5102.90000000,0.55000000,0.00000000,2026-04-24 06:30:00.000,MTM2,0.00000000
WO-070386,10,20,FGT1037-01,0.00000000,0.00000000,0.00000000,2026-04-15 00:00:00.000,MTM2,0.00000000
WO-070386,20,10,23-12742-005,18556.00000000,2.00000000,0.00000000,2026-04-24 18:10:00.000,MTM2,35916.00000000
WO-070386,20,20,FGT0162-01,0.00000000,0.00000000,0.00000000,2026-04-15 00:00:00.000,MTM2,0.00000000
WO-070387,10,10,MMC0000389,6920.65000000,0.55000000,0.00000000,2026-05-05 07:00:00.000,MTM2,0.00000000
