TABLE_NAME,ROW_COUNT
RECEIVER_BINARY,3
V_MERGE_DOCS,3
APP_CONFIG_ITEM,2
EVENT_DETECT,2
NMFC_CODE,2
NOTIFICATION_DATA,2
RECVR_LINE_BINARY,2
RMA_BINARY,2
USER_DIMENSION_SETUP,2
VENDOR_ADDRESS,2
VR_DATA_SOURCE_TABLE,2
ACCOUNTING_ENTITY,1
APPLICATION_GLOBAL,1
BANK_ACCOUNT,1
CO_PRODUCT,1
CURRENCY,1
CURRENCY_ENTITY,1
CUSTOMER_BINARY,1
CUSTOMER_PRICE,1
E_GLOBAL,1
EARNING_CODE,1
EVENT_BINARY,1
EVENT_TRIGGER,1
FINANCIAL_CALENDAR,1
GROUPS,1
HARMONIZED_TARIFF,1
LABEL_GROUP,1
LABEL_GROUP_LINE,1
MASTER_PROD_SCHED,1
PASSWORD_CONFIG,1
PURC_HISTORY,1
REVISION_HISTORY,1
SITE,1
TASK_REJ_CODES,1
TOOLBAR,1
UNITS_CONVERSION,1
V_HISTORY_TYPE,1
V_INST,1
V_INST_LINE,1
V_MISC_FIELDS,1
V_PRIORITY,1
V_QUOTE,1
V_VERSION,1
VR_DATA_SOURCE,1
VR_PROPERTY,1
ACCOUNT_BAL_DIM,0
ACCOUNT_BAL_SUM,0
ACCOUNT_BUDGET,0
ACCOUNT_BUDGET_SUM,0
ACCOUNT_CHG_LOG,0
ACCOUNT_GROUP,0
ACCOUNT_PROFILE,0
ACCT_BAL_DIM_BATCH,0
ADJ_REASON_SYNC,0
AIC_SYNC,0
ALLOCATION,0
ALLOCATION_DETAIL,0
AMTS_PENDING_TRANS,0
APS_DATA,0
APS_LAYOUT,0
APS_TABLE,0
BANK_ADJ_CURR,0
BANK_ADJ_DIST,0
BANK_ADJ_LINE,0
BANK_ADJUSTMENT,0
BANK_STATEMENT,0
BID_RATE_CATEGORY,0
BID_RATE_GROUP,0
BID_RATE_GROUP_CATEGORY,0
BUDGET_CODE,0
BUDGET_TYPE,0
BUFFER,0
BUFFER_PROFILE,0
BUFFER_STAT_MATL,0
BUFFER_STAT_WO_LOC,0
BUFFER_STATUS,0
BURD_DIST_DETAIL,0
BURDEN_BATCH_RATES,0
BURDEN_DIST,0
BURDEN_GROUP,0
BURDEN_RULE,0
BURDEN_TRANS,0
CARRIER_SYNC,0
CASH_PLAN,0
CASH_PLAN_ACCOUNT,0
CASH_PLAN_AMOUNT,0
CASH_PLAN_LINE,0
CASH_PLAN_SITE,0
CLYRPD,0
CNSN_RCVR_LINE_DEL,0
COMMODITY_SYNC,0
CONSIGN_RCVR_LINE,0
CONSIGN_RECEIVER,0
CONSOLID_ACCOUNT,0
CONSOLIDATION,0
CONSOLIDATION_LOG,0
CONSOLIDATION_MAP,0
CONTACT_BINARY,0
CONTRACT_TYPE,0
CONTROL_LIMITS,0
COR_INBOX_ENTRY,0
COR_INBOX_HEADERS,0
COR_OUTBOX_ENTRY,0
COR_OUTBOX_HEADERS,0
COR_PROPERTY,0
COST_CATEGORY,0
COST_SIMULATION,0
CREDIT_MEMO_APPLY,0
CURR_PRICE_INDEX,0
CURRENCY_EXCHANGE,0
CUST_CONT_EML_DOC,0
CUST_LINE_TRC_CTL,0
CUST_ORD_PRICING_BIN,0
CUST_ORD_TYPE_SYNC,0
CUST_ORDER_SHARE,0
CUST_ORDER_SYNC,0
CUST_ORDER_TYPE,0
CUST_ORDL_WIP_VAS,0
CUST_PRICE_GROUP,0
CUST_PRIORITY,0
CUST_SHIP_CHG_ACCT,0
CUST_WIP_VAS,0
CUSTOMER_BANK,0
CUSTOMER_DISCOUNT,0
CUSTOMER_FORECAST,0
CUSTOMER_RELATION,0
CUSTOMER_SYNC,0
CUSTOMER_TYPE,0
DASHBOARD_ITEM_AUTHORITY,0
DATA_EXPORT,0
DBR_EVENT_TRIGGER,0
DBR_SETTINGS,0
DBR_STATUS,0
DECISION_PARAMS,0
DEF_SHIPPING_LBL,0
DEFAULT_DATA,0
DEMAND_FORECAST,0
DEMSUP_SUMMARY,0
DETAIL_TABLE,0
DEVIATION,0
DEVIATION_REASON,0
DISCOUNT_PRICE,0
DISPATCH_PALLET,0
DISTRIBUTION,0
DISTRIBUTION_LINE,0
DIVISION,0
DOC_CATEGORY,0
DOCUMENT_DEFLT_REF_TYPE,0
DOCUMENT_EML_AUDIT,0
DOCUMENT_REF_EAC,0
DOCUMENT_REF_PATH,0
DOCUMENT_REF_WF,0
DOCUMENT_REF_WO,0
E_APP_USERS,0
EC,0
EC_GROUP_USER,0
EC_HISTORY,0
EC_LINE,0
EC_LINE_BINARY,0
EC_REQUEST,0
EC_RESPONSE,0
ECN,0
ECN_BINARY,0
ECN_CO_PRODUCT,0
ECN_DETAIL,0
ECN_OPER_BINARY,0
ECN_OPER_RESOURCE,0
ECN_OPERATION,0
ECN_REQ_BINARY,0
ECN_REQ_PART_ALT,0
ECN_REQ_REF_DESIG,0
ECN_REQUIREMENT,0
ECN_WO_BINARY,0
ECN_WORKORDER,0
EMPLOYEE_BINARY,0
EMPLOYEE_SYNC,0
ENTITY_SETTINGS,0
EQUIP_AREA,0
EQUIP_BILL_OPTIONS,0
EQUIP_BINARY,0
EQUIP_BRANCH,0
EQUIP_CALENDAR,0
EQUIP_COVER_TIME,0
EQUIP_LABOR_PRICE,0
EQUIP_MAINT_DISC,0
EQUIP_MAINT_ENG,0
EQUIP_MAINT_TYPE,0
EQUIP_MODEL,0
EQUIP_PART_PRICE,0
EQUIP_PM_EXCEPTION,0
EQUIP_PM_PROFILE,0
EQUIP_PM_SCHEDULE,0
EQUIP_PROFILE,0
EQUIP_RELEASE,0
EQUIP_TYPE,0
EQUIPMENT,0
ESB_INBOUND_DUPLICATE,0
ESB_PREVIOUS_VERSION_MEDIATION,0
ESB_VARIATION_ID_MEDIATION,0
EVENT_LOG,0
EXCEPTION,0
EXPIRED_PWD,0
FEEDING_OPERATIONS,0
FOB_POINT_SYNC,0
GJ_LINE_CURR,0
GL_BURDEN_MAP,0
GPSCMF,0
GPSUMF,0
HISTORY_DATA,0
HISTORY_DEFINITION,0
HTS_DUTY_PERCENT,0
IBT,0
IBT_BINARY,0
IBT_LINE,0
IBT_LINE_BINARY,0
IBT_LINE_TRC_CTL,0
IBT_RECEIVER,0
IBT_RECEIVER_LINE,0
IBT_SHIPPER,0
IBT_SHIPPER_LINE,0
IBT_SYNC,0
INBOX_ERROR,0
INDIVIDUAL_PRV_HISTORY,0
INSPECTION_REASON,0
INSTALLMENT,0
INSTALLMENT_LINE,0
INTRA_ARRIVAL_LINE,0
INTRA_CNSN_RCVR_LN,0
INTRA_DISPTCH_LINE,0
INTRA_RECEIVR_LINE,0
INTRA_SHIPPER_LINE,0
INV_PIECES,0
INV_TRANS_AVE,0
INV_TRANS_CURR,0
INV_TRANS_DIST_TRC,0
ISSUE_REASON,0
JOURNAL_DIM,0
JOURNAL_DIM_FILTER,0
LABOR_TICKET_CURR,0
LANG_DESCRIPTION,0
LANG_TRANSLATIONS,0
LANGUAGE,0
MACRO,0
MACRO_PROFILE,0
MARKET,0
MARKET_PRICE,0
MFG_WIN_EXCEPTION,0
MODE_OF_TRANSPORT,0
MT_WIP_INVENTORY,0
MT_WIP_TRANSACTIONS,0
NATURE_OF_TRANS,0
NEXT_NUM_GEN_EAC,0
NEXT_NUM_GEN_ETC,0
NMFC_CODE_SYNC,0
NOTIFICATION_EMPLOYEE,0
NOTIFICATION_EMPLOYEE_DOC,0
OP_SETUP_ATTRIB,0
OPER_SERVICE_COST,0
OPER_TYPE_BINARY,0
OPER_TYPE_RESOURCE,0
