RESOURCE_ID,RESOURCE_DESCRIPTION,RESOURCE_TYPE,DEPARTMENT_ID,SCHEDULE_GROUP_ID,SCHEDULE_NORMALLY,OPERATION_ROW_COUNT,DISTINCT_WORK_ORDERS,DISTINCT_SEQUENCES,FIRST_SCHED_START_DATE,LAST_SCHED_FINISH_DATE
100-20,Press Room 440 Ton Seyi,W,NULL,NULL,Y,860,856,860,2019-10-02 14:50:00.000,2026-06-03 07:00:00.000
100-21,Press Room 330 Seyi,W,NULL,NULL,Y,12,12,12,2022-02-11 00:00:00.000,2026-06-04 23:40:00.000
100-22,Press Room 660 Stamtec,W,NULL,NULL,Y,180,171,180,2021-02-18 07:10:00.000,2026-05-29 10:50:00.000
100-23,Press Room 800 Ton,W,NULL,NULL,Y,747,439,747,2021-05-28 13:40:00.000,2031-04-04 02:00:00.000
100-24,Press Room 800 Ton,W,NULL,NULL,Y,2220,2216,2220,2021-09-20 21:20:00.000,2026-06-09 14:20:00.000
100-25,Press Room 660 Ton Seyi,W,NULL,NULL,Y,191,180,191,2022-03-04 00:00:00.000,2026-06-11 23:40:00.000
100-26,Press Room 176 Ton Seyi,W,NULL,NULL,Y,149,149,149,2022-01-20 08:00:00.000,2026-05-10 23:40:00.000
100-27,Press Room 330 Ton Seyi,W,NULL,NULL,Y,684,683,684,2022-02-21 16:10:00.000,2026-06-19 00:10:00.000
100-28,Press Room 330 Ton Stamtec,W,NULL,NULL,Y,428,402,428,2022-03-24 09:30:00.000,2026-06-09 09:40:00.000
100-29,E-Brake Premium III Series,W,NULL,NULL,Y,1351,1314,1351,2022-09-12 08:50:00.000,2033-03-18 10:10:00.000
100-30,Press (Multicell),W,NULL,NULL,Y,431,430,430,2023-10-05 07:00:00.000,2026-06-26 22:50:00.000
100-31,Press Room 1100 ton SEYI,W,NULL,NULL,Y,80,80,80,2024-06-20 00:00:00.000,2026-06-02 15:20:00.000
100-A-BUR-1/2,Press Room Universal Half Burden,W,NULL,NULL,Y,769,588,769,NULL,NULL
100-A-BUR-1/4,Press Room Universal Quarter Burden,W,NULL,NULL,Y,42,42,42,NULL,NULL
