RESOURCE_ID,RESOURCE_DESCRIPTION,RESOURCE_TYPE,DEPARTMENT_ID,SCHEDULE_GROUP_ID,SCHEDULE_NORMALLY,OPERATION_ROW_COUNT,DISTINCT_WORK_ORDERS,DISTINCT_SEQUENCES,FIRST_SCHED_START_DATE,LAST_SCHED_FINISH_DATE
V100-33,Press Room 440 Ton Seyi,W,NULL,NULL,Y,749,749,749,2025-01-30 10:00:00.000,2026-06-09 23:50:00.000
V100-34,Press Room 660 Ton Seyi,W,NULL,NULL,Y,4,4,4,2026-03-27 00:00:00.000,2026-06-02 03:20:00.000
V120-05,Auto Rivet Machine,W,NULL,NULL,N,244,244,244,2025-05-01 00:00:00.000,2026-06-19 22:50:00.000
V120-06,Auto Rivet Machine,W,NULL,NULL,N,0,0,1,NULL,NULL
V140-01,Assembly,W,NULL,NULL,N,3,3,3,2026-05-29 07:00:00.000,2026-05-29 07:10:00.000
V140-03,Assembly (Rafael),W,NULL,NULL,N,0,0,1,NULL,NULL
V140-GRP,Assembly Group,G,NULL,NULL,Y,35,35,35,2026-02-27 21:50:00.000,2026-06-08 22:50:00.000
V880-01,Manual Finish ,W,NULL,NULL,Y,5,5,5,2026-04-29 00:10:00.000,2026-06-17 09:10:00.000
V880-GRP,Manual Finish Group,W,NULL,NULL,Y,144,144,144,2026-01-15 19:50:00.000,2026-06-22 07:00:00.000
V880-PAK,Manual Finish Packaging,W,NULL,NULL,Y,1647,1647,1647,2025-05-07 23:40:00.000,2026-06-29 23:50:00.000
v-890-01,Assembly Group,G,NULL,NULL,Y,0,0,1,NULL,NULL
V890-01,Stoelting Parts Washer,W,NULL,NULL,Y,16,16,16,2025-12-16 21:30:00.000,2026-06-16 22:50:00.000
VSR-01,Special Request Notes,W,NULL,NULL,Y,1,1,1,2026-05-29 00:00:00.000,2026-05-29 00:00:00.000
ZWIP,NULL,W,NULL,NULL,Y,55,51,51,2007-10-24 00:00:00.000,2008-09-16 00:00:00.000
