TABLE_NAME,TRIGGER_NAME,TYPE_DESC,IS_INSTEAD_OF_TRIGGER,IS_DISABLED,TRIGGER_EVENT
INV_RECEIPT_DIST,DELETE_INV_RECEIPT_DIST,SQL_TRIGGER,NO,NO,DELETE
INV_RECEIPT_DIST,INSERT_INV_RECEIPT_DIST,SQL_TRIGGER,NO,NO,INSERT
INV_TRANS_DIST,DELETE_INV_TRANS_DIST,SQL_TRIGGER,NO,NO,DELETE
INV_TRANS_DIST,INSERT_INV_TRANS_DIST,SQL_TRIGGER,NO,NO,INSERT
INV_TRANS_DIST,UPDATE_INV_TRANS_DIST,SQL_TRIGGER,NO,NO,UPDATE
INVENTORY_BALANCE,INSERT_INVENTORY_BALANCE,SQL_TRIGGER,NO,NO,INSERT
INVENTORY_BALANCE,UPDATE_INVENTORY_BALANCE,SQL_TRIGGER,NO,NO,UPDATE
INVENTORY_TRANS,DELETE_INVENTORY_TRANS,SQL_TRIGGER,NO,NO,DELETE
INVENTORY_TRANS,INSERT_INVENTORY_TRANS,SQL_TRIGGER,NO,NO,INSERT
INVENTORY_TRANS,UPDATE_INVENTORY_TRANS,SQL_TRIGGER,NO,NO,UPDATE
JOURNAL,DELETE_JOURNAL,SQL_TRIGGER,NO,NO,DELETE
JOURNAL,INSERT_JOURNAL,SQL_TRIGGER,NO,NO,INSERT
JOURNAL,UPDATE_JOURNAL,SQL_TRIGGER,NO,NO,UPDATE
JOURNAL_BATCH,INSERT_JOURNAL_BATCH,SQL_TRIGGER,NO,NO,INSERT
JOURNAL_BATCH,UPDATE_JOURNAL_BATCH,SQL_TRIGGER,NO,NO,UPDATE
JOURNAL_DIM,INSERT_JOURNAL_DIM,SQL_TRIGGER,NO,NO,INSERT
JOURNAL_DIM,UPDATE_JOURNAL_DIM,SQL_TRIGGER,NO,NO,UPDATE
LABEL_TYPE,UPDATE_LABEL_TYPE,SQL_TRIGGER,NO,NO,UPDATE
LABOR_TICKET,DELETE_LABOR_TICKET,SQL_TRIGGER,NO,NO,DELETE
LABOR_TICKET,INSERT_LABOR_TICKET,SQL_TRIGGER,NO,NO,INSERT
LABOR_TICKET,UPDATE_LABOR_TICKET,SQL_TRIGGER,NO,NO,UPDATE
LOCATION,UPDATE_LOCATION,SQL_TRIGGER,NO,NO,UPDATE
