TABLE_NAME,INDEX_NAME,INDEX_TYPE,IS_UNIQUE,IS_PRIMARY_KEY,COLUMN_NAME,KEY_ORDINAL,IS_INCLUDED_COLUMN
TRACE_INV_TRANS,PK_TRACE_INV_TRANS,CLUSTERED,YES,YES,TRACE_ID,2,NO
TRACE_INV_TRANS,PK_TRACE_INV_TRANS,CLUSTERED,YES,YES,TRANSACTION_ID,3,NO
TRACE_INV_TRANS,X_TRACE_INV_1,NONCLUSTERED,NO,NO,TRANSACTION_ID,1,NO
TRACE_LABOR_TRANS,PK_TRACE_LABOR_TRANS,CLUSTERED,YES,YES,PART_ID,1,NO
TRACE_LABOR_TRANS,PK_TRACE_LABOR_TRANS,CLUSTERED,YES,YES,TRACE_ID,2,NO
TRACE_LABOR_TRANS,PK_TRACE_LABOR_TRANS,CLUSTERED,YES,YES,TRANSACTION_ID,3,NO
TRACE_LABOR_TRANS,X_TRACE_LAB_1,NONCLUSTERED,NO,NO,TRANSACTION_ID,1,NO
TRACE_NUMBERING,PK_TRACE_NUMBERING,CLUSTERED,YES,YES,ID,1,NO
TRACE_PROFILE,PK_TRACE_PROFILE,CLUSTERED,YES,YES,SITE_ID,1,NO
TRACE_PROFILE,PK_TRACE_PROFILE,CLUSTERED,YES,YES,PART_ID,2,NO
TRACE_PROFILE,X_TRACE_PROF_1,NONCLUSTERED,NO,NO,NUMBERING_ID,1,NO
TRACE_SERV_DISP,PK_TRACE_SERV_DISP,CLUSTERED,YES,YES,PART_ID,1,NO
TRACE_SERV_DISP,PK_TRACE_SERV_DISP,CLUSTERED,YES,YES,TRACE_ID,2,NO
TRACE_SERV_DISP,PK_TRACE_SERV_DISP,CLUSTERED,YES,YES,DISPATCH_ID,3,NO
TRACE_SERV_DISP,PK_TRACE_SERV_DISP,CLUSTERED,YES,YES,DISP_LINE_NO,4,NO
TRACE_SERV_TRANS,PK_TRACE_SERV_TRANS,CLUSTERED,YES,YES,PART_ID,1,NO
TRACE_SERV_TRANS,PK_TRACE_SERV_TRANS,CLUSTERED,YES,YES,TRACE_ID,2,NO
TRACE_SERV_TRANS,PK_TRACE_SERV_TRANS,CLUSTERED,YES,YES,TRANSACTION_ID,3,NO
TRACE_SERV_TRANS,X_TRACE_SER_1,NONCLUSTERED,NO,NO,TRANSACTION_ID,1,NO
TRANS_CATEGORY,PK_TRANS_CATEGORY,CLUSTERED,YES,YES,ID,1,NO
TRANSIT_TIME,PK_TRANSIT_TIME,CLUSTERED,YES,YES,FROM_WAREHOUSE_ID,1,NO
TRANSIT_TIME,PK_TRANSIT_TIME,CLUSTERED,YES,YES,TO_WAREHOUSE_ID,2,NO
UDF_LAYOUT,PK_UDF_LAYOUT,CLUSTERED,YES,YES,ID,1,NO
UNITS,PK_UNITS,CLUSTERED,YES,YES,UNIT_OF_MEASURE,1,NO
UNITS_CONVERSION,PK_UNITS_CONVERSION,CLUSTERED,YES,YES,FROM_UM,1,NO
UNITS_CONVERSION,PK_UNITS_CONVERSION,CLUSTERED,YES,YES,TO_UM,2,NO
UNITS_CONVERSION,X_UNITS_CONV_1,NONCLUSTERED,NO,NO,TO_UM,1,NO
UNP_MNT_BINARY,PK_UNP_MNT_BINARY,CLUSTERED,YES,YES,CALL_ID,1,NO
UNP_MNT_BINARY,PK_UNP_MNT_BINARY,CLUSTERED,YES,YES,TYPE,2,NO
UNP_MNT_CALLS,PK_UNP_MNT_CALLS,CLUSTERED,YES,YES,call_id,1,NO
UNP_MNT_ENGINEER,pk_unp_mnt_eng,CLUSTERED,YES,YES,resource_id,1,NO
UNP_MNT_ENGINEER,pk_unp_mnt_eng,CLUSTERED,YES,YES,key1_id,2,NO
UNP_MNT_ENGINEER,pk_unp_mnt_eng,CLUSTERED,YES,YES,key2_id,3,NO
UNP_MNT_ENGINEER,pk_unp_mnt_eng,CLUSTERED,YES,YES,key_type,4,NO
UNP_MNT_ESCALATION,PK_UNP_MNT_ESCALATION,CLUSTERED,YES,YES,id,1,NO
UNP_MNT_FAULT_CODE,pk_unp_mnt_fault_cd,CLUSTERED,YES,YES,id,1,NO
UNP_MNT_FAULT_CODE,pk_unp_mnt_fault_cd,CLUSTERED,YES,YES,type_id,2,NO
UNP_MNT_FAULT_TYPE,pk_unp_mnt_flt_tp,CLUSTERED,YES,YES,id,1,NO
UNP_MNT_REM_CODE,pk_unp_mnt_rem_cd,CLUSTERED,YES,YES,id,1,NO
UNP_MNT_REM_CODE,pk_unp_mnt_rem_cd,CLUSTERED,YES,YES,type_id,2,NO
UNP_MNT_REM_TYPE,pk_unp_mnt_rem_tp,CLUSTERED,YES,YES,id,1,NO
UNP_MNT_STD_REPAIR,pk_mnt_std_repair,CLUSTERED,YES,YES,equipment_type,1,NO
UNP_MNT_STD_REPAIR,pk_mnt_std_repair,CLUSTERED,YES,YES,equipment_model,2,NO
UNP_MNT_STD_REPAIR,pk_mnt_std_repair,CLUSTERED,YES,YES,fault_type,3,NO
UNP_MNT_STD_REPAIR,pk_mnt_std_repair,CLUSTERED,YES,YES,fault_code,4,NO
UNP_MNT_STD_REPAIR,pk_mnt_std_repair,CLUSTERED,YES,YES,part_id,5,NO
UNP_MNT_STD_REPAIR,pk_mnt_std_repair,CLUSTERED,YES,YES,engineer_master,6,NO
UNP_MNT_URGENCY,pk_unp_mnt_urge,CLUSTERED,YES,YES,id,1,NO
UOM_CATEGORY,PK_UOM_CATEGORY,CLUSTERED,YES,YES,CODE,1,NO
USAGE_ANALYSIS,X_USAGE_ANALYSIS_0,NONCLUSTERED,YES,NO,SITE_ID,1,NO
USAGE_ANALYSIS,X_USAGE_ANALYSIS_0,NONCLUSTERED,YES,NO,PART_ID,2,NO
USAGE_ANALYSIS,X_USAGE_ANALYSIS_1,NONCLUSTERED,NO,NO,CALC_VALUE,1,NO
USER_DEF_FIELDS,IX_USER_DEF_FIELDS_1,NONCLUSTERED,NO,NO,DOCUMENT_ID,0,YES
USER_DEF_FIELDS,IX_USER_DEF_FIELDS_1,NONCLUSTERED,NO,NO,STRING_VAL,0,YES
USER_DEF_FIELDS,IX_USER_DEF_FIELDS_1,NONCLUSTERED,NO,NO,ID,1,NO
USER_DEF_FIELDS,X_USER_DEF_FIELDS_0,NONCLUSTERED,YES,NO,PROGRAM_ID,1,NO
USER_DEF_FIELDS,X_USER_DEF_FIELDS_0,NONCLUSTERED,YES,NO,ID,2,NO
USER_DEF_FIELDS,X_USER_DEF_FIELDS_0,NONCLUSTERED,YES,NO,DOCUMENT_ID,3,NO
USER_DEF_FIELDS,X_USER_DEF_FIELDS_0,NONCLUSTERED,YES,NO,LINE_NO,4,NO
USER_DEF_FIELDS,X_USER_DEF_FIELDS_0,NONCLUSTERED,YES,NO,DEL_LINE_NO,5,NO
USER_DIM_MAPPING,PK_USER_DIM_MAP,CLUSTERED,YES,YES,OWNER_TABLE,1,NO
USER_DIM_MAPPING,PK_USER_DIM_MAP,CLUSTERED,YES,YES,OWNER_ID,2,NO
USER_DIM_MAPPING,PK_USER_DIM_MAP,CLUSTERED,YES,YES,DIMENSION,3,NO
USER_DIM_MAPPING,PK_USER_DIM_MAP,CLUSTERED,YES,YES,PROCESS_TYPE,4,NO
USER_DIM_MAPPING,PK_USER_DIM_MAP,CLUSTERED,YES,YES,EFFECTIVE_DATE,5,NO
USER_DIM_PROC_PRI,PK_USR_DIM_PROC_PRI,CLUSTERED,YES,YES,DIMENSION,1,NO
USER_DIM_PROC_PRI,PK_USR_DIM_PROC_PRI,CLUSTERED,YES,YES,PROCESS_TYPE,2,NO
USER_DIM_PROC_PRI,PK_USR_DIM_PROC_PRI,CLUSTERED,YES,YES,SOURCE_TYPE,3,NO
USER_DIMENSION,PK_USER_DIMENSION,CLUSTERED,YES,YES,DIMENSION,1,NO
USER_DIMENSION,PK_USER_DIMENSION,CLUSTERED,YES,YES,ID,2,NO
USER_DIMENSION_SETUP,PK_USER_DIMENSN_LABEL,CLUSTERED,YES,YES,DIMENSION,1,NO
USER_FLD_AUTHORITY,PK_USER_FLD_AUTHORITY,CLUSTERED,YES,YES,USER_ID,1,NO
USER_FLD_AUTHORITY,PK_USER_FLD_AUTHORITY,CLUSTERED,YES,YES,PROGRAM_ID,2,NO
USER_FLD_AUTHORITY,PK_USER_FLD_AUTHORITY,CLUSTERED,YES,YES,PROGRAM_FIELD,3,NO
USER_MNU_AUTHORITY,PK_USER_MNU_AUTHORITY,CLUSTERED,YES,YES,USER_ID,1,NO
USER_MNU_AUTHORITY,PK_USER_MNU_AUTHORITY,CLUSTERED,YES,YES,GROUP_ID,2,NO
USER_MNU_AUTHORITY,PK_USER_MNU_AUTHORITY,CLUSTERED,YES,YES,LANGUAGE_ID,3,NO
USER_PGM_AUTHORITY,PK_USER_PGM_AUTHORITY,CLUSTERED,YES,YES,USER_ID,1,NO
USER_PGM_AUTHORITY,PK_USER_PGM_AUTHORITY,CLUSTERED,YES,YES,PROGRAM_ID,2,NO
USER_PGM_AUTHORITY,PK_USER_PGM_AUTHORITY,CLUSTERED,YES,YES,PROGRAM_COMPONENT,3,NO
USER_PROFILE,PK_USER_PROFILE,CLUSTERED,YES,YES,USER_ID,1,NO
USER_PROFILE,PK_USER_PROFILE,CLUSTERED,YES,YES,PROFILE_ID,2,NO
USER_SITE,PK_USER_SITE,CLUSTERED,YES,YES,SITE_ID,1,NO
USER_SITE,PK_USER_SITE,CLUSTERED,YES,YES,USER_ID,2,NO
V_ACCOUNT,X_V_ACCOUNT_0,CLUSTERED,YES,YES,ID,1,NO
V_ACCOUNT,X_V_ACCOUNT_1,NONCLUSTERED,NO,NO,CUST_ID,1,NO
V_ACCOUNT,X_V_ACCOUNT_2,NONCLUSTERED,NO,NO,ACCT_CATEGORY,1,NO
V_ACCOUNT,X_V_ACCOUNT_3,NONCLUSTERED,NO,NO,CONTACT_ID,1,NO
V_ACCOUNT,X_V_ACCOUNT_4,NONCLUSTERED,NO,NO,NAME,1,NO
V_ACCOUNT,X_V_ACCOUNT_5,NONCLUSTERED,NO,NO,BUS_PHONE,1,NO
V_ACCT_BINARY,X_V_ACCT_BINARY_0,CLUSTERED,YES,YES,ACCT_ID,1,NO
V_ACCT_BINARY,X_V_ACCT_BINARY_0,CLUSTERED,YES,YES,TYPE,2,NO
V_ACCT_CONTACT,X_V_ACCT_CONT_0,CLUSTERED,YES,YES,ACCT_ID,1,NO
V_ACCT_CONTACT,X_V_ACCT_CONT_0,CLUSTERED,YES,YES,CONT_ID,2,NO
V_ACCT_ENTITY,X_V_ACCT_ENTITY_0,CLUSTERED,YES,YES,ENTITY_ID,1,NO
V_ACCT_ENTITY,X_V_ACCT_ENTITY_0,CLUSTERED,YES,YES,ACCT_ID,2,NO
V_ACCT_SALESREP,X_V_ACCT_SALESREP_0,CLUSTERED,YES,YES,ACCT_ID,1,NO
V_ACCT_SALESREP,X_V_ACCT_SALESREP_0,CLUSTERED,YES,YES,SALESREP_ID,2,NO
V_ACCT_SITE,X_V_ACCT_SITE_0,CLUSTERED,YES,YES,SITE_ID,1,NO
V_ACCT_SITE,X_V_ACCT_SITE_0,CLUSTERED,YES,YES,ACCT_ID,2,NO
V_ACCT_TYPE,X_V_ACCT_TYPE_0,CLUSTERED,YES,YES,ID,1,NO
V_ADDRESS,X_V_ADDRESS_0,CLUSTERED,YES,YES,ID,1,NO
V_ADDRESS,X_V_ADDRESS_1,NONCLUSTERED,NO,NO,ACCT_ID,1,NO
V_ADDRESS,X_V_ADDRESS_2,NONCLUSTERED,NO,NO,CONTACT_ID,1,NO
V_ADMIN,X_V_ADMIN_0,CLUSTERED,YES,YES,ID,1,NO
V_ANNUAL_SALES,X_V_ANNUAL_SALES_0,CLUSTERED,YES,YES,ID,1,NO
V_AREA,X_V_AREA_0,CLUSTERED,YES,YES,ID,1,NO
