ORDER_ID,OPERATION_SEQ_NO,PIECE_NO,PART_ID,CALC_QTY,QTY_PER,FIXED_QTY,REQUIRED_DATE,SITE_ID,QTY_ON_HAND
WO-071197,19,50,A0003702101,3051.00000000,1.00000000,0.00000000,2026-05-29 00:00:00.000,MTM2,0.00000000
WO-071197,19,60,A0003702490,3051.00000000,1.00000000,0.00000000,2026-05-29 00:00:00.000,MTM2,10913.00000000
WO-071197,19,70,GENFOAM1,3051.00000000,1.00000000,0.00000000,2026-05-29 00:00:00.000,MTM2,6802.00000000
WO-071197,19,80,GENFOAM2,3051.00000000,1.00000000,0.00000000,2026-05-29 00:00:00.000,MTM2,3504.00000000
WO-071197,19,90,GENFOAM3,3051.00000000,1.00000000,0.00000000,2026-05-29 00:00:00.000,MTM2,1252.00000000
WO-071200,10,10,MMC0000848,4015.00000000,1.10000000,0.00000000,2026-06-01 23:20:00.000,MTM2,131622.00000000
WO-071201,10,10,MMC0000848,4015.00000000,1.10000000,0.00000000,2026-06-02 03:10:00.000,MTM2,131622.00000000
WO-071202,10,10,MMC0000848,6666.00000000,1.10000000,0.00000000,2026-06-08 05:20:00.000,MTM2,131622.00000000
WO-071203,10,10,MMC0000848,6666.00000000,1.10000000,0.00000000,2026-06-05 19:10:00.000,MTM2,131622.00000000
WO-071204,10,10,MMC0000848,5456.00000000,1.10000000,0.00000000,2026-06-02 07:00:00.000,MTM2,131622.00000000
WO-071205,10,10,MMC0000848,5456.00000000,1.10000000,0.00000000,2026-06-04 15:00:00.000,MTM2,131622.00000000
WO-071206,10,10,MMC0000848,6039.00000000,1.10000000,0.00000000,2026-06-05 09:00:00.000,MTM2,131622.00000000
WO-071207,10,10,MMC0000848,6039.00000000,1.10000000,0.00000000,2026-06-08 11:20:00.000,MTM2,131622.00000000
WO-071208,10,10,MMC0000848,6149.00000000,1.10000000,0.00000000,2026-06-08 00:10:00.000,MTM2,131622.00000000
WO-071209,10,10,MMC0000848,6149.00000000,1.10000000,0.00000000,2026-06-05 14:00:00.000,MTM2,131622.00000000
WO-071210,10,10,MMC0000848,5549.50000000,1.10000000,0.00000000,2026-06-04 23:20:00.000,MTM2,131622.00000000
WO-071211,10,10,MMC0000848,5544.00000000,1.10000000,0.00000000,2026-06-05 04:10:00.000,MTM2,131622.00000000
WO-071213,19,10,MMC0000364,62040.40000000,8.60000000,0.00000000,2026-05-26 21:40:00.000,MTM2,30487.00000000
WO-071215,19,10,MMC0000532,3060.00000000,1.53000000,0.00000000,2026-06-01 11:50:00.000,MTM2,4030.00000000
WO-071216,10,10,MMC0000753,620.40000000,0.88000000,0.00000000,2026-06-10 20:10:00.000,MTM2,620.00000000
