TABLE_NAME,COLUMN_NAME,CONSTRAINT_NAME
CASH_BOOK_SUMMARY,CLEARED_BALANCE,DF__CASH_BOOK__CLEAR__6637AEE1
CASH_BOOK_SUMMARY,ACCT_BALANCE,DF__CASH_BOOK__ACCT___672BD31A
CASH_DISBURSE_CURR,AMOUNT,DF__CASH_DISB__AMOUN__681FF753
CASH_DISBURSE_CURR,SELL_RATE,DF__CASH_DISB__SELL___69141B8C
CASH_DISBURSE_CURR,BUY_RATE,DF__CASH_DISB__BUY_R__6A083FC5
CASH_DISBURSE_DIST,AMOUNT_TYPE,DF__CASH_DISB__AMOUN__6AFC63FE
CASH_DISBURSE_DIST,POSTING_STATUS,DF__CASH_DISB__POSTI__6BF08837
CASH_DISBURSE_DIST,CREATE_DATE,DF__CASH_DISB__CREAT__6CE4AC70
CASH_DISBURSE_DIST,CURRENCY_ID,DF__CASH_DISB__CURRE__6DD8D0A9
CASH_DISBURSE_LINE,WITHHELD_AMOUNT,DF__CASH_DISB__WITHH__6ECCF4E2
CASH_DISBURSE_LINE,WH_ALLOWED_AMOUNT,DF__CASH_DISB__WH_AL__6FC1191B
CASH_DISBURSEMENT,CREATE_DATE,DF__CASH_DISB__CREAT__70B53D54
CASH_DISBURSEMENT,STATUS,DF__CASH_DISB__STATU__71A9618D
CASH_DISBURSEMENT,CLEARED,DF__CASH_DISB__CLEAR__729D85C6
CASH_DISBURSEMENT,MARKED_FOR_PURGE,DF__CASH_DISB__MARKE__7391A9FF
CASH_DISBURSEMENT,PAYMENT_METHOD,DF__CASH_DISB__PAYME__7485CE38
CASH_DISBURSEMENT,CURRENCY_ID,DF__CASH_DISB__CURRE__7579F271
CASH_DISBURSEMENT,USER_EXCH_RATE,DF__CASH_DISB__USER___766E16AA
CASH_PLAN,BEGINNING_BALANCE,DF__CASH_PLAN__BEGIN__77623AE3
CASH_PLAN,CREATE_DATE,DF__CASH_PLAN__CREAT__78565F1C
CASH_RECEIPT,CREATE_DATE,DF__CASH_RECE__CREAT__794A8355
CASH_RECEIPT,STATUS,DF__CASH_RECE__STATU__7A3EA78E
CASH_RECEIPT,MARKED_FOR_PURGE,DF__CASH_RECE__MARKE__7B32CBC7
CASH_RECEIPT,PAYMENT_METHOD,DF__CASH_RECE__PAYME__7C26F000
CASH_RECEIPT_CURR,AMOUNT,DF__CASH_RECE__AMOUN__7D1B1439
CASH_RECEIPT_CURR,SELL_RATE,DF__CASH_RECE__SELL___7E0F3872
CASH_RECEIPT_CURR,BUY_RATE,DF__CASH_RECE__BUY_R__7F035CAB
CASH_RECEIPT_DIST,POSTING_STATUS,DF__CASH_RECE__POSTI__7FF780E4
CASH_RECEIPT_DIST,CREATE_DATE,DF__CASH_RECE__CREAT__00EBA51D
CASH_RECEIPT_DIST,CURRENCY_ID,DF__CASH_RECE__CURRE__01DFC956
CO_PRODUCT,RECEIVED_QTY,DF__CO_PRODUC__RECEI__02D3ED8F
CO_PRODUCT,LINE_STATUS,DF__CO_PRODUC__LINE___03C811C8
CO_PRODUCT,ALLOCATED_QTY,DF__CO_PRODUC__ALLOC__04BC3601
CO_PRODUCT,FULFILLED_QTY,DF__CO_PRODUC__FULFI__05B05A3A
CO_PRODUCT,STATUS_EFF_DATE,DF__CO_PRODUC__STATU__06A47E73
COMMODITY_SYNC,CREATE_DATE,DF__COMMODITY__CREAT__0798A2AC
COMMODITY_SYNC,SUBSCRIPTIONS,DF__COMMODITY__SUBSC__088CC6E5
CONSIGN_RECEIVER,CREATE_DATE,DF__CONSIGN_R__CREAT__0980EB1E
CONSOLIDATION,CREATE_DATE,DF__CONSOLIDA__CREAT__0A750F57
CONSOLIDATION_LOG,CREATE_DATE,DF__CONSOLIDA__CREAT__0B693390
CONTACT,GENDER_CODE,DF__CONTACT__GENDER___0C5D57C9
CONTACT,MARITAL_STATUS,DF__CONTACT__MARITAL__0D517C02
CONTACT,NO_CALL_PHONE,DF__CONTACT__NO_CALL__0E45A03B
CONTACT,NO_CALL_MOBILE,DF__CONTACT__NO_CALL__0F39C474
CONTACT,NO_EMAIL,DF__CONTACT__NO_EMAI__102DE8AD
COR_INBOX_ENTRY,C_MESSAGE_PRIORITY,DF__COR_INBOX__C_MES__11220CE6
COR_INBOX_ENTRY,C_WAS_PROCESSED,DF__COR_INBOX__C_WAS__1216311F
COR_OUTBOX_ENTRY,C_MESSAGE_PRIORITY,DF__COR_OUTBO__C_MES__130A5558
COR_OUTBOX_ENTRY,C_WAS_PROCESSED,DF__COR_OUTBO__C_WAS__13FE7991
COUNTRY,INTRASTAT_REQD,DF__COUNTRY__INTRAST__14F29DCA
COUNTRY,esl_country,DF__COUNTRY__esl_cou__15E6C203
CURRENCY,EURO_PARTICIPANT,DF__CURRENCY__EURO_P__16DAE63C
CUST_ADDRESS,TAX_EXEMPT,DF__CUST_ADDR__TAX_E__17CF0A75
CUST_ADDRESS,ORDER_FILL_RATE,DF__CUST_ADDR__ORDER__18C32EAE
CUST_ADDRESS,ACTIVE_FLAG,DF__CUST_ADDR__ACTIV__456C834A
CUST_BOOK_DEL,ALLOCATED_QTY,DF__CUST_BOOK__ALLOC__19B752E7
CUST_BOOK_DEL,FULFILLED_QTY,DF__CUST_BOOK__FULFI__1AAB7720
CUST_BOOK_LINE,CREATE_DATE,DF__CUST_BOOK__CREAT__1B9F9B59
CUST_CONTACT,PRIMARY_CONTACT,DF__CUST_CONT__PRIMA__1C93BF92
CUST_LINE_BILLING,CREATE_DATE,DF__CUST_LINE__CREAT__1D87E3CB
CUST_LINE_DEL,USER_ORDER_QTY,DF__CUST_LINE__USER___1E7C0804
CUST_LINE_DEL,ORDER_QTY,DF__CUST_LINE__ORDER__1F702C3D
CUST_LINE_DEL,USER_SHIPPED_QTY,DF__CUST_LINE__USER___20645076
CUST_LINE_DEL,SHIPPED_QTY,DF__CUST_LINE__SHIPP__215874AF
CUST_LINE_DEL,ALLOCATED_QTY,DF__CUST_LINE__ALLOC__224C98E8
CUST_LINE_DEL,FULFILLED_QTY,DF__CUST_LINE__FULFI__2340BD21
CUST_LINE_DEL,LINE_STATUS,DF__CUST_LINE__LINE___2434E15A
CUST_LINE_DEL,STATUS_EFF_DATE,DF__CUST_LINE__STATU__25290593
CUST_ORD_TYPE_SYNC,CREATE_DATE,DF__CUST_ORD___CREAT__261D29CC
CUST_ORD_TYPE_SYNC,SUBSCRIPTIONS,DF__CUST_ORD___SUBSC__27114E05
CUST_ORDER_ALLOC,ORDER_DEL_NO,DF__CUST_ORDE__ORDER__45EBA637
CUST_ORDER_ALLOC,ORDER_QTY,DF__CUST_ORDE__ORDER__46DFCA70
CUST_ORDER_ALLOC,SHIPPED_QTY,DF__CUST_ORDE__SHIPP__47D3EEA9
CUST_ORDER_ALLOC,LOT_ID,DF__CUST_ORDE__LOT_I__48C812E2
CUST_ORDER_ALLOC,SPLIT_ID,DF__CUST_ORDE__SPLIT__49BC371B
CUST_ORDER_ALLOC,PURC_LINE_NO,DF__CUST_ORDE__PURC___4AB05B54
CUST_ORDER_ALLOC,PURC_DEL_NO,DF__CUST_ORDE__PURC___4BA47F8D
CUST_ORDER_ALLOC,DESIRED_QTY,DF__CUST_ORDE__DESIR__4C98A3C6
CUST_ORDER_ALLOC,RECEIVED_QTY,DF__CUST_ORDE__RECEI__4D8CC7FF
CUST_ORDER_ALLOC,UNIT_PRICE,DF__CUST_ORDE__UNIT___4E80EC38
CUST_ORDER_ALLOC,MATERIAL_COST,DF__CUST_ORDE__MATER__4F751071
CUST_ORDER_ALLOC,SERVICE_COST,DF__CUST_ORDE__SERVI__506934AA
CUST_ORDER_ALLOC,ALLOCATED_QTY,DF__CUST_ORDE__ALLOC__515D58E3
CUST_ORDER_ALLOC,VALUE_LATE,DF__CUST_ORDE__VALUE__52517D1C
CUST_ORDER_ALLOC,DAYS_LATE,DF__CUST_ORDE__DAYS___5345A155
CUST_ORDER_ALLOC,OPP_LOST,DF__CUST_ORDE__OPP_L__5439C58E
CUST_ORDER_CURR,AMOUNT,DF__CUST_ORDE__AMOUN__2805723E
CUST_ORDER_CURR,SELL_RATE,DF__CUST_ORDE__SELL___28F99677
CUST_ORDER_CURR,BUY_RATE,DF__CUST_ORDE__BUY_R__29EDBAB0
CUST_ORDER_LINE,LINE_STATUS,DF__CUST_ORDE__LINE___2AE1DEE9
CUST_ORDER_LINE,UNIT_PRICE,DF__CUST_ORDE__UNIT___2BD60322
CUST_ORDER_LINE,TRADE_DISC_PERCENT,DF__CUST_ORDE__TRADE__2CCA275B
CUST_ORDER_LINE,EST_FREIGHT,DF__CUST_ORDE__EST_F__2DBE4B94
CUST_ORDER_LINE,TOTAL_ACT_FREIGHT,DF__CUST_ORDE__TOTAL__2EB26FCD
CUST_ORDER_LINE,TOTAL_SHIPPED_QTY,DF__CUST_ORDE__TOTAL__2FA69406
CUST_ORDER_LINE,TOTAL_USR_SHIP_QTY,DF__CUST_ORDE__TOTAL__309AB83F
CUST_ORDER_LINE,TOTAL_AMT_SHIPPED,DF__CUST_ORDE__TOTAL__318EDC78
CUST_ORDER_LINE,TOTAL_AMT_ORDERED,DF__CUST_ORDE__TOTAL__328300B1
CUST_ORDER_LINE,WIP_VAS_UNIT_PRICE,DF__CUST_ORDE__WIP_V__337724EA
CUST_ORDER_LINE,ALLOCATED_QTY,DF__CUST_ORDE__ALLOC__346B4923
CUST_ORDER_LINE,FULFILLED_QTY,DF__CUST_ORDE__FULFI__355F6D5C
CUST_ORDER_LINE,STATUS_EFF_DATE,DF__CUST_ORDE__STATU__36539195
CUST_ORDER_LINE,EMAIL_NOTIFICATION,DF__CUST_ORDE__EMAIL__160788EB
CUST_ORDER_LINE,POSTING_CANDIDATE,DF__CUST_ORDE__POSTI__30BB7F27
CUST_ORDER_SYNC,CREATE_DATE,DF__CUST_ORDE__CREAT__3747B5CE
CUST_ORDER_SYNC,SUBSCRIPTIONS,DF__CUST_ORDE__SUBSC__383BDA07
CUST_ORDL_WIP_VAS,WIP_VAS_UNIT_PRICE,DF__CUST_ORDL__WIP_V__392FFE40
CUST_PRIORITY,FILL_RATE,DF__CUST_PRIO__FILL___3A242279
CUSTOMER,CURRENCY_ID,DF__CUSTOMER__CURREN__3B1846B2
CUSTOMER,TAX_EXEMPT,DF__CUSTOMER__TAX_EX__3C0C6AEB
CUSTOMER,BACKORDER_FLAG,DF__CUSTOMER__BACKOR__3D008F24
CUSTOMER,TERMS_NET_TYPE,DF__CUSTOMER__TERMS___3DF4B35D
CUSTOMER,TERMS_DISC_TYPE,DF__CUSTOMER__TERMS___3EE8D796
CUSTOMER,FREIGHT_TERMS,DF__CUSTOMER__FREIGH__3FDCFBCF
CUSTOMER,DUNNING_LETTERS,DF__CUSTOMER__DUNNIN__40D12008
CUSTOMER,VAT_DISCOUNTED,DF__CUSTOMER__VAT_DI__41C54441
CUSTOMER,vat_always_disc,DF__CUSTOMER__vat_al__42B9687A
CUSTOMER,vat_override_seq,DF__CUSTOMER__vat_ov__43AD8CB3
CUSTOMER,STATUS_EFF_DATE,DF__CUSTOMER__STATUS__44A1B0EC
CUSTOMER,EMAIL_CUST_ON_NEW_ORDER,DF__CUSTOMER__EMAIL___0E666723
CUSTOMER,EMAIL_CUST_ON_CHG_ORDER,DF__CUSTOMER__EMAIL___0F5A8B5C
CUSTOMER,EMAIL_CUST_ON_SHIPMENT,DF__CUSTOMER__EMAIL___104EAF95
CUSTOMER,EMAIL_EMPL_ON_NEW_ORDER,DF__CUSTOMER__EMAIL___1142D3CE
CUSTOMER,EMAIL_EMPL_ON_CHG_ORDER,DF__CUSTOMER__EMAIL___1236F807
CUSTOMER,EMAIL_EMPL_ON_SHIPMENT,DF__CUSTOMER__EMAIL___132B1C40
CUSTOMER,EMAIL_EMPL_ON_INV_PAID,DF__CUSTOMER__EMAIL___141F4079
CUSTOMER_BANK,IS_DEFAULT,DF__CUSTOMER___IS_DE__4595D525
CUSTOMER_BOOKINGS,CREATE_DATE,DF__CUSTOMER___CREAT__4689F95E
CUSTOMER_ENTITY,CREDIT_STATUS,DF__CUSTOMER___CREDI__477E1D97
CUSTOMER_ENTITY,CREDIT_LIMIT_CTL,DF__CUSTOMER___CREDI__487241D0
CUSTOMER_ENTITY,TOTAL_OPEN_ORDERS,DF__CUSTOMER___TOTAL__49666609
CUSTOMER_ENTITY,TOTAL_OPEN_RECV,DF__CUSTOMER___TOTAL__4A5A8A42
CUSTOMER_ENTITY,OPEN_ORDER_COUNT,DF__CUSTOMER___OPEN___4B4EAE7B
CUSTOMER_ENTITY,OPEN_RECV_COUNT,DF__CUSTOMER___OPEN___4C42D2B4
CUSTOMER_ENTITY,TOTAL_OPEN_SHIPPED,DF__CUSTOMER___TOTAL_OPEN_SHIPPED
CUSTOMER_ENTITY,SHIP_CREDIT_LIMIT_CTL,DF__CUSTOMER___SHIP___1B564DED
CUSTOMER_ORDER,TERMS_NET_TYPE,DF__CUSTOMER___TERMS__4D36F6ED
CUSTOMER_ORDER,TERMS_DISC_TYPE,DF__CUSTOMER___TERMS__4E2B1B26
CUSTOMER_ORDER,FREIGHT_TERMS,DF__CUSTOMER___FREIG__4F1F3F5F
CUSTOMER_ORDER,ORDER_DATE,DF__CUSTOMER___ORDER__50136398
CUSTOMER_ORDER,BACK_ORDER,DF__CUSTOMER___BACK___510787D1
CUSTOMER_ORDER,STATUS,DF__CUSTOMER___STATU__51FBAC0A
CUSTOMER_ORDER,POSTING_CANDIDATE,DF__CUSTOMER___POSTI__52EFD043
CUSTOMER_ORDER,TOTAL_AMT_ORDERED,DF__CUSTOMER___TOTAL__53E3F47C
CUSTOMER_ORDER,TOTAL_AMT_SHIPPED,DF__CUSTOMER___TOTAL__54D818B5
CUSTOMER_ORDER,MARKED_FOR_PURGE,DF__CUSTOMER___MARKE__55CC3CEE
CUSTOMER_ORDER,EDI_FLAG,DF__CUSTOMER___EDI_F__56C06127
CUSTOMER_ORDER,EXCH_RATE_FIXED,DF__CUSTOMER___EXCH___57B48560
CUSTOMER_ORDER,CURRENCY_ID,DF__CUSTOMER___CURRE__58A8A999
CUSTOMER_ORDER,CREATE_DATE,DF__CUSTOMER___CREAT__599CCDD2
